diag_id,object_id,method,date,temperature,humidity,illumination,defect_found,defect_description,quality_grade,param1,param2,param3,ml_label
73,504,UZK,2022-11-29,-1.4,40.9,765.0,False,,удовлетворительно,,,,normal
74,299,GEO,2016-06-07,-4.3,70.5,700.2,True,трещина - ТРЩ,удовлетворительно,45.5,11.1,107.1,medium
75,499,MPK,2018-12-19,7.4,78.8,705.0,True,коррозия - ОБШР,допустимо,56.8,123.5,41.5,high
76,269,UZK,2022-11-07,14.6,54.4,404.1,False,,удовлетворительно,,,,normal
77,375,MFL,2017-11-29,5.5,72.6,707.3,False,,удовлетворительно,,,,normal
78,343,VIK,2018-09-17,12.0,85.1,614.3,True,овальность - ОВЛ,удовлетворительно,9.43,452.5,191.9,normal
79,328,MFL,2020-11-03,-12.8,74.9,963.2,False,,удовлетворительно,,,,normal
80,213,UZK,2018-12-19,-25.2,23.4,699.3,False,,удовлетворительно,,,,normal
81,577,MFL,2016-11-07,43.0,53.3,316.5,True,аномалия сварного шва - ШОВ,допустимо,27.48,70.6,184.9,medium
82,726,MFL,2022-02-18,7.4,81.1,512.8,False,,удовлетворительно,,,,normal
83,6,MFL,2016-04-08,34.2,46.8,862.5,True,вмятина - ПОКН,удовлетворительно,38.34,87.6,135.3,medium
84,243,UZK,2024-04-16,9.2,22.3,959.5,False,,удовлетворительно,,,,normal
85,590,UZK,2021-10-26,-25.0,66.8,481.6,True,трещина - ТРЩ,удовлетворительно,56.7,220.9,25.8,high
86,768,MFL,2020-09-05,-19.3,85.2,440.1,False,,удовлетворительно,,,,normal
87,535,VIK,2016-03-04,40.4,89.8,122.4,True,вмятина - ПОКН,допустимо,25.51,305.9,80.6,high
88,786,UZK,2017-04-07,-12.8,41.7,329.5,False,,удовлетворительно,,,,normal
89,595,RGK,2019-08-15,-29.0,79.7,257.5,False,,удовлетворительно,,,,normal
90,440,VIK,2018-05-18,18.5,86.7,517.5,True,аномалия сварного шва - ШОВ,допустимо,44.69,181.6,185.9,medium
91,446,MFL,2022-07-01,35.6,55.0,746.5,True,овальность - ОВЛ,удовлетворительно,59.99,382.2,195.0,high
92,158,VIBRO,2020-01-18,37.5,91.0,849.1,True,трещина - ТРЩ,удовлетворительно,33.86,413.6,63.9,medium
93,550,MFL,2017-02-04,35.7,84.8,823.5,True,трещина - ТРЩ,требует_мер,13.11,112.7,156.5,medium
94,697,UZK,2021-11-23,8.1,68.2,539.3,True,аномалия сварного шва - ШОВ,допустимо,50.71,238.3,41.6,high
95,28,VIK,2018-10-31,9.3,81.2,788.9,False,,удовлетворительно,,,,normal
96,318,TVK,2018-04-08,33.0,55.8,779.3,True,овальность - ОВЛ,требует_мер,11.9,95.3,93.3,medium
97,473,UZK,2019-07-27,6.2,86.6,223.2,True,трещина - ТРЩ,допустимо,13.91,471.7,112.0,normal
98,83,VIBRO,2022-06-17,16.1,42.6,686.2,True,аномалия сварного шва - ШОВ,допустимо,30.41,149.4,185.6,medium
99,164,MPK,2025-05-05,-18.5,93.8,223.1,False,,удовлетворительно,,,,normal
100,206,MFL,2025-07-26,44.1,22.7,418.9,True,расслоение - ВМТ,допустимо,6.36,171.9,29.3,normal
101,362,TVK,2016-03-05,33.5,53.8,996.9,False,,удовлетворительно,,,,normal
102,499,UZK,2020-09-07,1.3,28.9,266.2,False,,удовлетворительно,,,,normal
103,646,PVK,2022-11-19,-12.8,50.2,270.6,True,овальность - ОВЛ,допустимо,58.76,52.3,20.0,high
104,351,UTWM,2019-04-03,-13.2,74.3,595.7,True,овальность - ОВЛ,допустимо,20.18,188.2,80.6,normal
105,301,MFL,2019-08-05,-0.4,82.7,486.8,False,,удовлетворительно,,,,normal
106,734,MPK,2021-10-13,-17.5,87.2,858.9,False,,удовлетворительно,,,,normal
107,346,GEO,2022-03-07,15.3,25.6,688.5,False,,удовлетворительно,,,,normal
108,120,UZK,2023-04-20,6.9,63.2,160.0,True,аномалия сварного шва - ШОВ,удовлетворительно,13.31,302.5,89.1,normal
109,763,UZK,2023-08-17,-18.2,65.2,661.0,False,,удовлетворительно,,,,normal
110,787,UZK,2016-10-16,-8.3,28.0,504.7,True,трещина - ТРЩ,допустимо,22.9,287.6,158.2,medium
111,471,UZK,2022-06-26,4.3,41.8,250.8,False,,удовлетворительно,,,,normal
112,353,RGK,2021-06-16,32.2,20.5,755.4,True,аномалия сварного шва - ШОВ,удовлетворительно,48.06,46.0,27.1,high
113,779,MFL,2019-07-26,15.1,20.0,222.8,True,трещина - ТРЩ,требует_мер,33.0,302.3,116.6,high
114,541,UZK,2019-09-08,7.7,53.9,296.1,True,аномалия сварного шва - ШОВ,требует_мер,58.31,272.0,177.1,high
115,635,VIBRO,2017-08-31,32.5,29.7,564.4,False,,удовлетворительно,,,,normal
116,217,MPK,2024-08-25,9.9,61.6,232.3,True,вмятина - ПОКН,удовлетворительно,11.13,108.1,90.2,normal
117,620,TFI,2023-08-23,29.7,26.4,805.0,True,вмятина - ПОКН,допустимо,30.62,64.6,126.1,high
118,466,UZK,2021-02-05,21.7,41.2,756.1,True,вмятина - ПОКН,требует_мер,36.59,395.5,90.8,high
119,525,UZK,2025-09-01,34.5,42.6,221.5,True,потеря металла - ЯЗВА,требует_мер,44.85,490.2,111.5,medium
120,251,MFL,2024-05-20,43.2,75.5,537.0,False,,удовлетворительно,,,,normal
121,791,TFI,2025-05-31,-14.0,65.6,349.4,False,,удовлетворительно,,,,normal
122,50,TFI,2018-11-15,-23.0,90.2,667.6,True,потеря металла - ЯЗВА,требует_мер,43.85,447.9,156.8,medium
123,750,PVK,2018-05-10,25.4,22.6,743.4,True,аномалия сварного шва - ШОВ,недопустимо,57.97,187.6,17.3,high
124,107,MFL,2015-12-16,5.1,92.6,394.1,True,овальность - ОВЛ,допустимо,57.35,279.5,123.2,high
125,210,UZK,2016-12-01,22.7,41.3,660.4,True,трещина - ТРЩ,допустимо,14.05,143.3,90.4,normal
126,376,TFI,2022-04-30,38.2,74.2,250.9,True,расслоение - ВМТ,допустимо,15.62,152.7,27.3,normal
127,296,UZK,2025-05-22,34.8,30.0,172.5,False,,удовлетворительно,,,,normal
128,216,RGK,2024-05-10,-19.5,69.7,877.3,False,,удовлетворительно,,,,normal
129,545,TFI,2025-01-21,6.9,79.9,442.6,False,,удовлетворительно,,,,normal
130,532,UZK,2022-07-07,42.9,54.6,341.8,True,трещина - ТРЩ,требует_мер,7.8,305.7,98.7,medium
131,256,UZK,2017-04-05,-16.2,79.4,241.2,True,коррозия - ОБШР,недопустимо,29.6,323.2,148.6,high
132,742,MPK,2024-12-28,41.6,59.9,993.0,True,трещина - ТРЩ,удовлетворительно,46.33,66.5,105.4,high
133,84,VIBRO,2024-07-24,12.0,35.6,206.3,True,коррозия - ОБШР,удовлетворительно,25.17,216.5,102.7,normal
134,569,VIK,2019-11-28,-1.0,79.9,987.7,True,потеря металла - ЯЗВА,удовлетворительно,13.76,94.3,124.3,normal
135,370,VIK,2019-05-09,-27.3,50.5,146.4,True,трещина - ТРЩ,допустимо,49.96,440.8,181.8,medium
136,315,UZK,2022-11-11,-28.1,83.7,176.5,True,трещина - ТРЩ,удовлетворительно,56.85,346.9,195.7,high
137,277,MFL,2018-04-14,-12.7,44.4,885.4,True,трещина - ТРЩ,допустимо,57.23,45.3,138.4,high
138,543,UZK,2025-05-22,-9.6,93.4,455.3,False,,удовлетворительно,,,,normal
139,597,MPK,2021-05-05,36.8,45.1,627.5,False,,удовлетворительно,,,,normal
140,627,TFI,2021-10-30,-25.9,83.4,788.2,True,потеря металла - ЯЗВА,допустимо,53.47,32.1,89.9,high
141,316,PVK,2021-10-07,21.5,68.1,630.4,False,,удовлетворительно,,,,normal
142,483,UZK,2019-07-04,10.6,76.3,558.8,True,вмятина - ПОКН,удовлетворительно,29.51,62.0,117.9,medium
143,353,VIK,2016-06-17,42.8,90.3,508.0,False,,удовлетворительно,,,,normal
144,34,MFL,2023-02-03,-22.9,66.3,682.6,True,овальность - ОВЛ,удовлетворительно,50.61,441.3,172.6,high
145,66,MFL,2017-09-16,-22.3,59.0,422.6,True,аномалия сварного шва - ШОВ,удовлетворительно,55.19,216.4,137.7,high
146,116,VIK,2016-09-30,32.8,59.5,120.2,True,овальность - ОВЛ,удовлетворительно,52.51,233.2,145.7,high
147,19,MFL,2021-09-30,-5.8,85.6,993.5,False,,удовлетворительно,,,,normal
148,57,UZK,2018-10-11,38.1,69.1,547.2,False,,удовлетворительно,,,,normal
149,527,UTWM,2017-04-20,16.0,62.5,111.9,True,расслоение - ВМТ,удовлетворительно,30.34,413.1,179.5,high
150,26,VIK,2016-12-28,-12.2,78.9,360.2,False,,удовлетворительно,,,,normal
151,188,PVK,2023-06-05,23.6,24.9,354.9,True,потеря металла - ЯЗВА,допустимо,40.39,135.4,94.9,medium
152,298,MFL,2022-12-08,21.7,37.1,442.3,False,,удовлетворительно,,,,normal
153,287,MPK,2016-06-23,41.8,80.5,570.1,True,расслоение - ВМТ,допустимо,25.78,96.9,82.4,high
154,786,UZK,2024-03-24,7.5,59.6,614.5,False,,удовлетворительно,,,,normal
155,308,MFL,2019-03-02,32.0,54.9,346.6,True,коррозия - ОБШР,допустимо,18.06,396.2,175.2,normal
156,120,MFL,2020-04-18,41.1,27.8,812.6,False,,удовлетворительно,,,,normal
157,6,MFL,2021-03-13,35.3,72.1,342.2,True,потеря металла - ЯЗВА,допустимо,54.56,48.6,162.4,high
158,453,MFL,2022-03-27,-17.7,51.4,263.2,False,,удовлетворительно,,,,normal
159,759,MPK,2020-06-27,41.9,64.0,478.4,True,аномалия сварного шва - ШОВ,удовлетворительно,52.7,296.4,177.4,high
160,258,UZK,2017-04-10,-9.1,82.2,368.6,False,,удовлетворительно,,,,normal
161,772,PVK,2025-07-14,-25.2,65.2,243.1,True,аномалия сварного шва - ШОВ,допустимо,45.19,177.9,157.7,medium
162,179,TVK,2024-07-23,27.6,89.8,948.8,True,трещина - ТРЩ,удовлетворительно,20.68,293.3,172.4,high
163,353,MFL,2023-04-07,-10.5,39.8,870.4,False,,удовлетворительно,,,,normal
164,25,PVK,2023-10-29,1.5,34.1,480.0,True,овальность - ОВЛ,недопустимо,57.81,19.0,138.2,high
165,90,VIBRO,2024-10-05,-4.5,70.1,355.2,False,,удовлетворительно,,,,normal
166,24,UZK,2024-08-18,-26.9,45.3,814.9,True,аномалия сварного шва - ШОВ,требует_мер,35.25,327.4,144.9,medium
167,67,UZK,2025-07-07,40.3,68.6,107.9,True,коррозия - ОБШР,удовлетворительно,23.8,91.4,147.3,normal
168,428,MFL,2017-10-15,7.4,22.6,683.5,True,коррозия - ОБШР,требует_мер,33.72,345.1,76.9,medium
169,423,MFL,2024-12-27,-6.4,29.4,951.6,True,потеря металла - ЯЗВА,допустимо,40.73,455.0,102.5,high
170,722,MPK,2024-09-30,37.3,87.5,624.7,True,трещина - ТРЩ,удовлетворительно,28.45,232.1,102.6,high
171,542,PVK,2021-07-01,10.0,34.4,761.0,False,,удовлетворительно,,,,normal
172,396,UZK,2022-02-10,-16.3,93.2,166.7,True,овальность - ОВЛ,допустимо,20.0,143.5,152.2,normal
173,790,MPK,2025-05-05,4.6,91.0,718.8,True,аномалия сварного шва - ШОВ,удовлетворительно,37.03,166.8,152.1,medium
174,83,MFL,2025-06-10,-5.1,39.6,427.9,False,,удовлетворительно,,,,normal
175,738,VIBRO,2022-04-13,17.3,53.2,415.2,True,трещина - ТРЩ,допустимо,38.29,22.6,162.1,medium
176,564,VIBRO,2019-06-21,-8.2,79.4,710.5,False,,удовлетворительно,,,,normal
177,753,UZK,2024-01-26,-24.7,54.3,221.3,False,,удовлетворительно,,,,normal
178,560,GEO,2019-11-02,29.2,25.6,595.0,True,овальность - ОВЛ,допустимо,50.31,42.1,161.5,high
179,367,UTWM,2021-03-12,32.5,82.1,644.7,True,вмятина - ПОКН,требует_мер,48.61,332.4,120.7,medium
180,680,UZK,2018-02-12,-9.6,74.8,890.7,True,аномалия сварного шва - ШОВ,допустимо,17.77,388.8,13.9,normal
181,415,PVK,2022-11-08,-15.9,25.3,506.3,False,,удовлетворительно,,,,normal
182,470,VIK,2023-01-13,-27.5,65.6,359.9,True,трещина - ТРЩ,удовлетворительно,39.41,301.1,50.8,medium
183,153,VIK,2017-06-24,-28.3,62.5,310.5,True,потеря металла - ЯЗВА,допустимо,39.07,277.4,81.7,medium
184,552,MFL,2021-04-10,-4.2,93.2,995.3,False,,удовлетворительно,,,,normal
185,387,MFL,2023-03-08,-0.2,33.0,671.0,False,,удовлетворительно,,,,normal
186,320,MFL,2018-09-22,-12.8,61.6,141.0,True,аномалия сварного шва - ШОВ,допустимо,10.65,133.8,34.2,normal
187,215,VIK,2021-11-08,13.7,60.8,148.8,True,потеря металла - ЯЗВА,допустимо,56.99,268.2,146.6,high
188,21,UZK,2021-09-25,4.0,41.2,853.5,True,потеря металла - ЯЗВА,удовлетворительно,38.1,21.7,17.6,high
189,393,MFL,2020-02-07,39.0,20.8,128.9,True,овальность - ОВЛ,удовлетворительно,29.46,162.1,182.7,high
190,80,MFL,2022-01-05,-22.6,94.1,166.3,True,расслоение - ВМТ,удовлетворительно,50.44,237.9,100.5,high
191,86,UTWM,2024-05-17,44.0,53.3,410.3,False,,удовлетворительно,,,,normal
192,251,VIBRO,2021-11-26,12.0,24.5,562.7,False,,удовлетворительно,,,,normal
193,785,UZK,2022-12-26,19.3,34.4,700.3,True,вмятина - ПОКН,удовлетворительно,6.0,179.9,16.8,normal
194,489,UZK,2017-02-26,10.2,22.3,455.5,False,,удовлетворительно,,,,normal
195,156,UZK,2019-01-01,1.1,55.2,296.3,True,овальность - ОВЛ,допустимо,30.1,52.9,121.1,medium
196,291,GEO,2018-09-19,24.5,89.2,210.6,True,овальность - ОВЛ,недопустимо,10.77,235.8,77.6,high
197,20,MFL,2020-10-06,0.8,57.2,667.8,True,потеря металла - ЯЗВА,недопустимо,47.66,88.6,75.4,high
198,171,MFL,2018-12-22,32.9,34.6,527.8,True,аномалия сварного шва - ШОВ,требует_мер,49.83,432.9,78.5,high
199,726,VIK,2020-03-20,-14.7,62.6,306.1,False,,удовлетворительно,,,,normal
200,142,PVK,2019-07-12,-19.9,60.5,510.9,True,расслоение - ВМТ,требует_мер,16.84,424.2,137.3,medium
201,332,UZK,2019-07-22,28.9,22.3,600.8,True,вмятина - ПОКН,допустимо,55.11,423.3,15.8,high
202,585,RGK,2023-10-23,-29.0,47.4,742.5,False,,удовлетворительно,,,,normal
203,504,TFI,2017-09-10,39.7,46.2,562.5,True,аномалия сварного шва - ШОВ,удовлетворительно,38.51,294.7,49.2,high
204,418,TFI,2025-03-23,40.2,23.7,981.2,False,,удовлетворительно,,,,normal
205,559,MPK,2020-07-06,11.6,67.7,489.0,True,овальность - ОВЛ,допустимо,20.58,128.0,199.3,normal
206,427,UZK,2020-04-28,6.1,23.0,193.5,True,аномалия сварного шва - ШОВ,удовлетворительно,48.3,248.0,44.7,medium
207,312,VIK,2023-02-08,-5.5,25.2,265.7,True,трещина - ТРЩ,удовлетворительно,37.13,248.4,96.6,medium
208,253,MFL,2017-01-07,-22.9,61.9,167.7,True,расслоение - ВМТ,допустимо,27.29,370.1,9.5,high
209,299,UZK,2022-10-01,36.4,80.0,690.3,False,,удовлетворительно,,,,normal
210,535,UZK,2021-07-16,-18.0,45.0,803.2,False,,удовлетворительно,,,,normal
211,730,TVK,2023-05-16,-13.1,34.7,922.1,False,,удовлетворительно,,,,normal
212,603,UZK,2018-07-21,0.0,44.4,898.2,False,,удовлетворительно,,,,normal
213,577,MFL,2018-02-01,27.0,72.7,749.7,True,вмятина - ПОКН,допустимо,52.0,37.1,125.0,high
214,340,VIK,2020-10-23,6.1,42.6,661.2,False,,удовлетворительно,,,,normal
215,261,UZK,2016-01-08,20.1,55.7,921.9,True,вмятина - ПОКН,допустимо,10.57,343.0,78.7,normal
216,183,VIK,2018-06-06,-3.0,42.8,348.4,True,потеря металла - ЯЗВА,допустимо,36.66,161.8,171.2,medium
217,467,GEO,2021-01-23,44.0,61.1,480.2,True,трещина - ТРЩ,допустимо,15.9,202.8,197.8,normal
218,174,UZK,2016-05-28,-24.7,69.9,767.8,False,,удовлетворительно,,,,normal
219,40,GEO,2016-04-19,21.2,67.7,238.1,True,трещина - ТРЩ,допустимо,28.01,462.0,138.7,medium
220,276,VIK,2024-03-17,-29.7,44.3,926.2,True,овальность - ОВЛ,допустимо,24.11,356.6,161.4,normal
221,4,MFL,2017-02-10,44.0,37.4,780.2,True,овальность - ОВЛ,допустимо,21.06,318.2,8.2,high
222,513,TFI,2016-05-14,15.4,74.7,804.8,False,,удовлетворительно,,,,normal
223,62,VIK,2018-02-11,-4.0,88.1,644.2,True,овальность - ОВЛ,допустимо,20.55,95.7,36.6,normal
224,443,UZK,2023-09-11,32.3,83.5,449.1,True,коррозия - ОБШР,допустимо,7.38,415.8,159.4,normal
225,422,RGK,2021-08-06,19.7,44.2,275.0,True,коррозия - ОБШР,требует_мер,4.01,297.9,162.5,medium
226,611,RGK,2024-04-30,22.7,27.8,305.0,False,,удовлетворительно,,,,normal
227,146,MFL,2022-05-30,-14.1,91.2,134.1,True,овальность - ОВЛ,допустимо,9.56,65.3,76.6,normal
228,26,TVK,2017-03-20,8.0,52.5,686.2,True,расслоение - ВМТ,недопустимо,7.13,65.5,189.8,high
229,92,RGK,2018-03-12,40.8,94.5,797.0,True,потеря металла - ЯЗВА,требует_мер,26.89,403.1,172.4,medium
230,523,TVK,2022-04-13,10.5,47.8,896.5,False,,удовлетворительно,,,,normal
231,99,UZK,2025-02-09,-22.5,25.1,171.1,False,,удовлетворительно,,,,normal
232,39,UZK,2021-02-18,-5.2,20.3,888.0,True,потеря металла - ЯЗВА,удовлетворительно,53.21,58.6,164.3,high
233,595,UTWM,2019-07-12,-3.8,71.5,499.9,False,,удовлетворительно,,,,normal
234,238,UTWM,2021-10-02,18.7,59.3,893.5,False,,удовлетворительно,,,,normal
235,140,UTWM,2016-12-16,0.0,55.8,664.6,False,,удовлетворительно,,,,normal
236,487,PVK,2023-03-03,44.5,63.6,417.0,True,вмятина - ПОКН,допустимо,29.54,54.3,184.4,high
237,160,UTWM,2016-05-04,-16.6,21.7,161.2,True,трещина - ТРЩ,недопустимо,20.85,483.4,99.2,high
238,275,MFL,2016-02-26,-29.0,35.3,695.7,True,потеря металла - ЯЗВА,допустимо,59.47,54.1,132.2,high
239,357,UZK,2016-08-13,37.7,24.5,880.7,True,аномалия сварного шва - ШОВ,допустимо,57.06,262.6,29.9,high
240,386,MFL,2021-02-22,-29.8,64.0,375.4,True,расслоение - ВМТ,требует_мер,38.45,464.1,63.9,high
241,717,UZK,2025-07-25,1.8,80.2,432.1,True,коррозия - ОБШР,недопустимо,15.59,264.3,73.3,high
242,623,MFL,2023-10-04,19.9,62.5,436.1,True,овальность - ОВЛ,удовлетворительно,24.36,35.8,105.4,normal
243,541,UTWM,2021-03-23,-27.7,24.2,759.9,False,,удовлетворительно,,,,normal
244,130,MFL,2019-03-30,-19.0,39.8,464.3,True,расслоение - ВМТ,допустимо,44.18,190.8,75.8,medium
245,683,VIK,2023-12-01,43.4,82.1,991.3,True,аномалия сварного шва - ШОВ,удовлетворительно,51.28,101.1,119.7,high
246,87,TFI,2023-09-25,-25.8,37.9,343.4,False,,удовлетворительно,,,,normal
247,14,MFL,2016-09-18,-5.0,82.3,660.7,True,вмятина - ПОКН,недопустимо,5.02,66.3,72.2,high
248,155,TFI,2025-07-24,20.4,33.8,667.2,True,овальность - ОВЛ,удовлетворительно,53.13,474.6,176.4,high
